,long,lat,ID_1,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,661295.2274479484,6837998.532481785,1.0,99.0,37.0,-18.343424797058105,-28.931889533996582,-27.569570541381836,-17.14268922805786,1.1540533304214478,0.29938778281211853,0.2993123531341553
1,660022.3944014275,6836965.027063497,2.0,100.0,14.0,-16.126136779785156,-27.057206630706787,-27.46363639831543,-16.313234567642212,0.9913694262504578,0.2877201735973358,0.28228163719177246
2,659779.3843193839,6833322.2808325,9.0,101.0,20.0,-22.52171754837036,-29.891417026519775,-31.667723655700684,-22.13733673095703,1.0499590635299683,0.43435248732566833,0.33455467224121094
3,656883.4884462712,6832717.749167499,5.0,92.0,15.0,-21.255180835723877,-30.49175262451172,-31.885404586791992,-20.431854724884033,1.0847246646881104,0.34678754210472107,0.2791716456413269
4,658415.8940093657,6834645.067201827,7.0,106.0,14.0,-22.9777193069458,-29.797039031982422,-30.817043781280518,-21.06114149093628,1.2545512914657593,0.457544207572937,0.32734110951423645
5,660007.269874745,6834012.613778446,12.0,95.0,40.0,-22.729651927947998,-31.914942264556885,-30.027055740356445,-22.914059162139893,1.0132540464401245,0.3630983829498291,0.44228944182395935
6,658948.7056578739,6834042.452780166,13.0,105.0,43.0,-19.305936098098755,-29.849882125854492,-29.251089096069336,-18.56330156326294,1.077897310256958,0.2982605993747711,0.29602229595184326
7,658059.4205628065,6833989.334863146,18.0,84.0,39.0,-22.820992469787598,-30.059845447540283,-31.362855434417725,-22.84445285797119,0.9977118968963623,0.43624672293663025,0.3771941065788269
8,657709.6314272142,6832263.803515102,2.0,99.0,33.0,-19.279991388320923,-31.34725570678711,-30.68455457687378,-22.046921253204346,0.7155791521072388,0.2512754797935486,0.3789188861846924
9,655991.4404619181,6832945.696287633,3.0,89.0,17.0,-20.30160665512085,-31.9836688041687,-31.093719005584717,-19.868755340576172,1.0930019617080688,0.2704083323478699,0.2735459506511688
10,657072.6943940878,6834329.672373873,14.0,108.0,8.0,-19.826966524124146,-31.399178504943848,-31.139514446258545,-19.809600114822388,1.0082651376724243,0.2695005238056183,0.27598416805267334
11,657033.649410901,6835006.639894852,15.0,105.0,22.0,-19.51449751853943,-30.117573738098145,-30.37907600402832,-19.840047359466553,0.9669554233551025,0.29569947719573975,0.3037368655204773
12,658149.0400302376,6835097.186195352,17.0,109.0,24.0,-16.56199336051941,-28.212311267852783,-28.24507713317871,-16.13487958908081,1.051734209060669,0.2622488737106323,0.2478589564561844
13,659048.2071772028,6834968.974012386,19.0,102.0,30.0,-19.030030965805054,-29.515438079833984,-28.35216760635376,-17.320464849472046,1.2475323677062988,0.3085256516933441,0.2836831212043762
14,660615.7760635184,6833527.412155874,1.0,101.0,30.0,-21.73961877822876,-29.288334846496582,-30.942893028259277,-23.334920406341553,0.8670156598091125,0.4343312382698059,0.4135189950466156
15,660010.4101251117,6834973.532240087,7.0,95.0,28.0,-16.599432229995728,-27.815022468566895,-27.686598300933838,-16.27179265022278,1.0489708185195923,0.28306299448013306,0.2719692885875702
16,660920.1663349621,6834967.767839239,5.0,95.0,28.0,-16.177974939346313,-28.627915382385254,-28.208787441253662,-15.924432277679443,1.050499677658081,0.2526262402534485,0.2584933042526245
17,661215.5656988949,6835994.115331377,21.0,94.0,29.0,-16.530641317367554,-27.829766273498535,-28.137876987457275,-17.255648374557495,0.9334567189216614,0.28020229935646057,0.29212749004364014
18,660068.4111864846,6836156.64154599,11.0,100.0,11.0,-16.26273274421692,-27.494471073150635,-27.180657386779785,-14.5759916305542,1.232405662536621,0.2759249210357666,0.23532156646251678
19,659010.3457233276,6835935.351057985,10.0,100.0,36.0,-16.360775232315063,-27.0908784866333,-28.073694705963135,-14.57112431526184,1.2345269918441772,0.29336172342300415,0.21696601808071136
20,657983.1259404134,6835925.176342195,20.0,104.0,17.0,-18.35400700569153,-28.294949531555176,-27.707295417785645,-16.816060543060303,1.1863900423049927,0.319973349571228,0.293840229511261
21,657053.4275619561,6835835.307717802,16.0,109.0,9.0,-21.231744289398193,-29.890642166137695,-30.982584953308105,-22.274675369262695,0.9053826332092285,0.38288769125938416,0.3723847270011902
22,658949.1919502795,6837030.273440688,9.0,105.0,24.0,-15.068304538726807,-26.633505821228027,-25.856881141662598,-15.195404291152954,1.0043271780014038,0.27000200748443604,0.2964372932910919
23,660036.3445249167,6838033.989792273,8.0,116.0,11.0,-17.00656533241272,-25.590503215789795,-25.636560916900635,-16.513181924819946,1.0731804370880127,0.38134679198265076,0.35262107849121094
24,660989.1426483484,6836971.216934867,6.0,100.0,48.0,-16.802456378936768,-26.933751106262207,-28.536100387573242,-16.960480213165283,0.9863426089286804,0.3234502375125885,0.2774707078933716
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Kangiqsujuaq/RS2_20170416/RS2_20170416_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_K_thicknesses_WGS84.shp
