,long,lat,OBJECTID_1,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,462005.4991871391,6896926.356165986,1,S_Core_2,75,2,-15.800204277038574,-30.63486337661743,-30.701777935028076,-14.874264001846313,1.095423936843872,0.1850072294473648,0.17073290050029755
1,464881.75401173485,6897914.630603448,2,S_Core_3,76,2,-14.009319543838501,-28.851017951965332,-29.429197311401367,-13.482390642166138,1.0729507207870483,0.18566538393497467,0.1624061018228531
2,465999.3312490516,6900044.945859712,3,S_Core_5,76,9,-17.304856777191162,-31.223788261413574,-30.60579776763916,-16.971769332885742,1.0417513847351074,0.20089618861675262,0.21180568635463715
3,468050.8437447283,6900212.460615371,4,S_Core_1,79,2,-10.6751549243927,-25.48126220703125,-26.277971267700195,-10.930919647216797,0.9744422435760498,0.18405741453170776,0.17300108075141907
4,467968.6716042514,6902067.1333837835,5,S_Core_4,78,2,-14.572985172271729,-29.817967414855957,-30.840072631835938,-14.331910610198975,1.0598000288009644,0.17996090650558472,0.1503613442182541
5,464009.40907769196,6898994.402228312,6,S_2,71,6,-15.72062373161316,-30.23754596710205,-30.495736598968506,-15.796757936477661,1.0338362455368042,0.19902303814888,0.18647675216197968
6,468985.23047316284,6901978.833403342,7,S_17,75,6,-12.676427364349365,-26.556968688964844,-27.32431650161743,-12.887619733810425,0.9815502166748047,0.20234531164169312,0.1913975328207016
7,468986.95476249,6901004.862513225,8,S_16,75,1,-12.950897216796875,-27.496449947357178,-27.933521270751953,-12.537068128585815,1.04637610912323,0.1872529834508896,0.17158561944961548
8,467984.651734637,6901022.940798576,9,S_14,80,1,-13.846975564956665,-28.404743671417236,-28.01069974899292,-13.496886491775513,1.0485832691192627,0.19118133187294006,0.19431395828723907
9,466997.055947539,6901014.100473075,10,S_13,80,4,-17.460644245147705,-29.979355335235596,-30.812530517578125,-17.818928956985474,0.9576389193534851,0.2372664511203766,0.22861362993717194
10,465987.16888437,6901006.777864657,11,S_12,80,8,-17.81810760498047,-30.376856327056885,-31.139779090881348,-18.02561044692993,0.9785568118095398,0.23453350365161896,0.2211075723171234
11,464977.04530145926,6899998.942097064,12,S_10,76,4,-17.823556661605835,-32.020509243011475,-31.295974254608154,-18.367046117782593,0.9461590051651001,0.19703729450702667,0.22416900098323822
12,466000.162753888,6898999.893630719,13,S_11,68,3,-15.668419599533081,-28.397932052612305,-28.76678228378296,-15.958720445632935,0.9617359042167664,0.23426203429698944,0.232602059841156
13,461051.32441174594,6896063.820963291,14,S_7,75,1,-17.56612777709961,-30.860800743103027,-30.57039976119995,-17.747373580932617,0.9918572902679443,0.22054186463356018,0.23194141685962677
14,460956.9789394857,6896927.593041483,15,S_8,76,2,-17.52890706062317,-30.816504955291748,-30.134994983673096,-17.036221027374268,1.0629591941833496,0.2179628163576126,0.22276954352855682
15,462284.3270750038,6895849.590846729,16,S_6,71,2,-12.093141078948975,-28.575313091278076,-29.49115753173828,-12.424020767211914,0.9534012675285339,0.15181057155132294,0.14581003785133362
16,462959.76429336175,6896918.131991952,17,S_5,66,3,-13.7559175491333,-29.13078784942627,-29.359636306762695,-14.142282009124756,0.9576860666275024,0.17191755771636963,0.1739259511232376
17,462975.41074879846,6897910.757424617,18,S_4,68,6,-15.346331596374512,-29.669041633605957,-30.00417947769165,-14.723725318908691,1.0742026567459106,0.19252513349056244,0.17256231606006622
18,463955.4928836885,6897960.286046651,19,S_3,66,4,-15.92158317565918,-29.401042461395264,-29.59982395172119,-15.150009393692017,1.0958201885223389,0.21396726369857788,0.19133241474628448
19,465059.94568166975,6898985.451280954,20,S_9,67,11,-15.715636014938354,-31.13985300064087,-30.091781616210938,-16.488254070281982,0.9196799397468567,0.16754411160945892,0.2094988077878952
20,466214.3350259939,6897898.9957298525,21,S_1,75,3,-14.626485109329224,-28.61191749572754,-28.006603717803955,-15.239697694778442,0.9493176937103271,0.20378704369068146,0.22973674535751343
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Salluit/RS2_20170130/RS2_20170130_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1701_S_thicknesses_WGS84.shp
