,long,lat,OBJECTID,ID_Map,Ice,Snow,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,519332.38716423244,6888685.501508799,1,D_Core_5,63,13.0,-14.664573669433594,-28.74422788619995,-29.56817388534546,-14.404762983322144,1.0300439596176147,0.19758115708827972,0.17640505731105804
1,516277.6373424541,6891447.962216609,2,D_Core_4,65,5.0,-13.362756967544556,-25.95010757446289,-26.901376247406006,-13.066151142120361,1.033305048942566,0.22789372503757477,0.2042049914598465
2,514948.4007238191,6892850.198331225,3,D_Core_1,69,6.0,-14.243437051773071,-31.87396764755249,-28.576769828796387,-15.37282109260559,0.8805773258209229,0.1329849511384964,0.22239841520786285
3,513742.52205647307,6894879.217328449,4,D_Core_2,59,11.0,-16.712191104888916,-28.366281986236572,-28.836848735809326,-14.933100938796997,1.2429475784301758,0.2632673680782318,0.19963964819908142
4,512830.5401840521,6895785.469722188,5,D_Core_3,,10.0,-15.46534776687622,-25.677545070648193,-25.96719264984131,-15.331681966781616,0.9949069619178772,0.3106994926929474,0.3109186589717865
5,515829.39798764547,6891107.828334209,6,D_1,65,3.0,-13.497811555862427,-27.134528160095215,-28.270645141601562,-13.47325325012207,1.000173568725586,0.20948748290538788,0.18515878915786743
6,515769.6700395532,6891576.786960879,7,D_2,64,3.0,-11.516563892364502,-25.877878665924072,-25.853211879730225,-13.03492546081543,0.870554506778717,0.1994866281747818,0.230067178606987
7,516142.4380502241,6893021.023806912,8,D_3,61,10.0,-14.446778297424316,-30.786800384521484,-29.827098846435547,-15.397017002105713,0.9047925472259521,0.15880684554576874,0.195450559258461
8,517230.6176254167,6890886.19454344,9,D_18,65,10.0,-16.870594024658203,-30.44924020767212,-29.370882511138916,-16.896432638168335,0.9947077631950378,0.20726020634174347,0.237130269408226
9,517934.1542928611,6890816.775112217,10,D_17,55,10.0,-17.061161994934082,-29.94396209716797,-31.87504291534424,-16.521966457366943,1.0925135612487793,0.2346402257680893,0.1697632223367691
10,517927.19061532937,6890144.963722541,11,D_15,61,8.0,-16.641989946365356,-30.173823833465576,-29.52662706375122,-16.181401014328003,1.0601658821105957,0.2108616679906845,0.21516700088977814
11,518219.77878078574,6889764.4086115565,12,D_14,62,9.0,-18.02581787109375,-29.650442600250244,-28.575265407562256,-17.372552156448364,1.0824549198150635,0.26337680220603943,0.2758810818195343
12,518226.34133034945,6888914.867388696,13,D_12,66,4.0,-15.241703987121582,-27.161805629730225,-25.93912124633789,-14.889265298843384,1.034131407737732,0.2541327178478241,0.288566917181015
13,519417.88290508866,6888419.955430252,14,D_13,56.5,9.0,-17.244839668273926,-29.970691204071045,-29.871342182159424,-16.91552996635437,1.034681797027588,0.2329997718334198,0.22792918980121613
14,517007.65531079023,6890014.098824074,15,D_11,60,5.0,-13.924421072006226,-28.46181869506836,-27.811901569366455,-14.58142638206482,0.9284801483154297,0.18785212934017181,0.21863986551761627
15,514610.7450415594,6892117.66781569,16,D_10,60,5.0,-14.029456377029419,-29.935500621795654,-28.352251052856445,-13.93547534942627,1.0288301706314087,0.16595277190208435,0.19093257188796997
16,513937.75346323295,6892935.047891385,17,D_9,65,8.0,-13.033864498138428,-27.307286262512207,-26.592888832092285,-13.304047584533691,0.9770001173019409,0.19746887683868408,0.2214445322751999
17,513916.79726476525,6893968.495838048,18,D_8,65,10.0,-14.549027681350708,-27.064414024353027,-27.32492446899414,-14.646080732345581,0.9976509809494019,0.24209076166152954,0.23927262425422668
18,515007.00380025466,6893969.378006818,19,D_4,58,8.0,-15.880088806152344,-30.77298641204834,-30.21977424621582,-17.24931240081787,0.85548996925354,0.18277543783187866,0.22651518881320953
19,515004.06302199914,6895032.986238878,20,D_5,64,10.0,-17.526849508285522,-29.14066791534424,-30.276916027069092,-16.233352422714233,1.1620583534240723,0.2635721266269684,0.19872599840164185
20,513990.5856427501,6896020.136507869,21,D_6,60,13.0,-17.10139513015747,-31.176319122314453,-31.02954626083374,-16.55416965484619,1.0638885498046875,0.21189339458942413,0.19933627545833588
21,513006.7726700859,6895168.005188908,22,D_7,60,9.0,-18.567426204681396,-30.156052112579346,-30.001530647277832,-18.438291549682617,1.0160564184188843,0.2711625397205353,0.2750638723373413
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20170113/RS2_20170113_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1701_D_thicknesses_WGS84.shp
