,long,lat,OBJECTID,Snow_thick,Ice_thick,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,512746.00339999975,6897234.308699999,1.0,10.0,131.0,-17.54903793334961,-31.741726398468018,-32.26126670837402,-19.346057176589966,0.8019796013832092,0.19669674336910248,0.23267599940299988
1,512268.9423000004,6896338.065200001,2.0,8.0,136.0,-19.920352697372437,-32.425808906555176,-31.91993236541748,-19.584083557128906,1.0515230894088745,0.2401280403137207,0.24310117959976196
2,512841.70119999984,6895601.693700001,3.0,5.0,131.0,-18.75770092010498,-29.60144281387329,-31.27971887588501,-17.76355266571045,1.1349362134933472,0.30343618988990784,0.2197597175836563
3,513756.87009999965,6894679.971999999,4.0,7.0,141.0,-17.873668670654297,-27.26290225982666,-27.82926082611084,-16.477354764938354,1.1760579347610474,0.3430803418159485,0.2684321403503418
4,514776.0525,6895900.385000002,5.0,12.0,135.0,-14.58747386932373,-25.7014799118042,-26.959969997406006,-13.422424793243408,1.14467453956604,0.2782888412475586,0.21016308665275574
5,515286.5153999999,6894816.568500001,6.0,20.0,116.0,-21.70217514038086,-31.69600248336792,-32.44009971618652,-22.488760948181152,0.9023199081420898,0.3256143033504486,0.3300839066505432
6,516556.4506999997,6892709.757500001,7.0,9.0,122.0,-18.40193748474121,-31.393816471099854,-30.721333026885986,-20.975701808929443,0.7422444224357605,0.2221848964691162,0.3260039985179901
7,517584.52759999956,6891085.094700001,8.0,14.0,115.0,-22.122280597686768,-32.057881355285645,-31.661314964294434,-20.376951694488525,1.2235963344573975,0.3211137354373932,0.2742040753364563
8,518242.72709999967,6890525.765500002,9.0,25.0,111.0,-21.81553840637207,-31.272997856140137,-31.88446044921875,-20.42180061340332,1.177624225616455,0.33868226408958435,0.2684641182422638
9,519394.4763000004,6889226.619499999,10.0,17.0,126.0,-19.792338609695435,-30.262553691864014,-29.48573350906372,-20.213286876678467,0.9592118859291077,0.30677932500839233,0.3486815094947815
10,511556.49079999985,6897421.97,11.0,4.0,130.0,-20.973961353302002,-31.527819633483887,-31.250722408294678,-20.762102603912354,1.0244094133377075,0.303824782371521,0.31052592396736145
12,510905.56399999995,6895639.436900001,13.0,1.0,142.0,-20.092108249664307,-30.01659393310547,-31.553902626037598,-18.91001582145691,1.1309466361999512,0.32193052768707275,0.24349206686019897
13,511985.9735000001,6894755.653000002,14.0,4.0,140.0,-19.330711364746094,-32.5159478187561,-28.89432191848755,-17.764540910720825,1.2089852094650269,0.22061020135879517,0.27722811698913574
14,513549.56879999954,6893886.819899999,15.0,5.0,142.0,-15.587520599365234,-27.851591110229492,-29.104254245758057,-15.948052406311035,0.9551981687545776,0.2448168396949768,0.22209081053733826
15,514619.5829000001,6893300.2828,16.0,6.0,142.0,-19.222984313964844,-30.798959732055664,-31.391170024871826,-18.6490535736084,1.0778262615203857,0.26345765590667725,0.23054392635822296
16,513856.41599999997,6891355.4991,17.0,11.0,115.0,-19.244009256362915,-32.01956272125244,-30.832715034484863,-18.280799388885498,1.116733193397522,0.23638609051704407,0.2443808764219284
17,513308.01639999985,6890511.631999999,18.0,2.0,137.0,-19.790940284729004,-30.25470495223999,-29.985525608062744,-19.913110733032227,1.0011463165283203,0.31687119603157043,0.32398027181625366
18,515407.3453000001,6891851.287300003,19.0,3.0,137.0,-18.33387017250061,-30.926902294158936,-30.616507530212402,-19.9412202835083,0.8314651846885681,0.23534716665744781,0.29329293966293335
19,516632.86470000003,6891092.862399999,20.0,2.0,136.0,-18.454049825668335,-31.39317274093628,-29.429986476898193,-17.759675979614258,1.076673984527588,0.22559529542922974,0.2644582986831665
20,516676.53289999993,6890291.8521,21.0,1.0,140.0,-17.7230441570282,-29.5259952545166,-29.97612953186035,-18.492326736450195,0.9076207280158997,0.25831568241119385,0.2750996947288513
21,516748.4797000007,6890290.425500002,22.0,5.0,140.0,-19.098353385925293,-29.388606548309326,-30.66797971725464,-19.65376377105713,0.9427445530891418,0.3067200481891632,0.28401923179626465
22,517512.04770000075,6890086.526700001,23.0,6.0,141.0,-18.696565628051758,-29.319705963134766,-29.657211303710938,-18.073787689208984,1.0770330429077148,0.3071119785308838,0.27546826004981995
23,517623.11060000054,6889133.252999999,24.0,6.0,143.0,-17.858729362487793,-29.17001724243164,-28.53095054626465,-17.168433666229248,1.077042579650879,0.27170291543006897,0.2754698097705841
24,518507.5504000002,6888427.883499999,25.0,7.0,142.0,-18.876261711120605,-30.28714418411255,-31.155128479003906,-18.291114568710327,1.1145853996276855,0.283414363861084,0.22542071342468262
25,514906.67640000023,6892401.942600001,57.0,15.0,,-18.627713918685913,-29.97554302215576,-30.252182483673096,-19.05142307281494,0.9606783390045166,0.2729252576828003,0.27609479427337646
26,515789.8425000002,6893546.6371,63.0,32.0,,-20.480313301086426,-31.301403045654297,-31.00203275680542,-19.719160795211792,1.0921578407287598,0.2881188988685608,0.27497708797454834
0,515186.56080000004,6892861.2881000005,36.0,19.0,138.0,-18.160831928253174,-30.109851360321045,-31.228530406951904,-18.409423828125,0.9739283323287964,0.2541423439979553,0.23046833276748657
1,515175.4557999996,6892840.293999999,37.0,4.0,143.0,-21.190412044525146,-31.90335512161255,-31.735992431640625,-19.929953813552856,1.1831729412078857,0.2992052137851715,0.2596234083175659
2,515161.47670000064,6892821.292300001,38.0,7.0,139.0,-19.76089596748352,-32.10538387298584,-31.7016863822937,-18.90610694885254,1.1350245475769043,0.25212952494621277,0.22981660068035126
3,515117.94199999975,6892760.158399998,39.0,9.0,142.0,-18.67722749710083,-30.30067205429077,-30.24864912033081,-18.518292903900146,1.0305958986282349,0.26548629999160767,0.2626885771751404
4,515069.0096000006,6892694.210499998,40.0,31.0,120.0,-20.836870670318604,-30.601446628570557,-31.098101139068604,-20.274629592895508,1.084622859954834,0.3282981812953949,0.2918703258037567
5,515034.2742999996,6892609.9448,41.0,13.0,122.0,-20.99907398223877,-31.894946098327637,-31.445419788360596,-19.774075746536255,1.1540608406066895,0.2857189178466797,0.26153331995010376
6,514992.48069999996,6892530.995499998,42.0,2.0,140.0,-19.032100439071655,-31.009092330932617,-29.373559951782227,-20.043213367462158,0.8949480056762695,0.25277262926101685,0.34427109360694885
7,514693.0288000003,6892017.995599999,43.0,0.0,140.0,-17.39682912826538,-31.58961772918701,-32.14666128158569,-17.11445450782776,1.030283808708191,0.19616852700710297,0.18062910437583923
8,515413.3185000001,6893144.616900001,48.0,12.0,142.0,-18.202775716781616,-32.681522369384766,-30.930306911468506,-17.878915071487427,1.038945198059082,0.18901285529136658,0.22232037782669067
9,515445.60429999966,6893180.414200001,49.0,3.0,138.0,-16.777145862579346,-31.006200313568115,-30.738303661346436,-16.817995309829712,0.9931271076202393,0.199024960398674,0.2080356925725937
10,515484.4793999994,6893221.5895,50.0,8.0,134.0,-17.214659452438354,-31.21537685394287,-29.319241046905518,-18.016425371170044,0.9168119430541992,0.20258861780166626,0.2747291624546051
11,515517.4801000011,6893260.175900003,51.0,18.0,126.0,-20.559029579162598,-31.66653871536255,-30.02155065536499,-20.306682586669922,1.0309937000274658,0.2847629487514496,0.3344844579696655
12,515553.8240000002,6893296.4386,52.0,17.0,138.0,-21.233062744140625,-31.683290004730225,-30.695035457611084,-20.91655969619751,1.0508785247802734,0.310637503862381,0.32904842495918274
13,515591.8457000006,6893341.399,53.0,20.0,133.0,-18.0011785030365,-32.44702100753784,-31.908893585205078,-19.149104356765747,0.8777108788490295,0.19051353633403778,0.23184943199157715
14,515632.4060000009,6893389.045299999,54.0,21.0,119.0,-19.641482830047607,-29.839019775390625,-32.27544546127319,-19.740995168685913,0.9867008924484253,0.3096146881580353,0.23730216920375824
15,515676.12100000016,6893430.022500001,55.0,20.0,119.0,-19.938446283340454,-30.76577663421631,-32.688255310058594,-20.260584354400635,0.957920491695404,0.2907785177230835,0.2446090430021286
16,514951.4402000001,6892469.763500002,56.0,3.0,,-19.072929620742798,-30.68131685256958,-30.933046340942383,-19.161460399627686,0.9922537207603455,0.2632732093334198,0.2601015865802765
17,514869.56950000033,6892334.044700001,58.0,1.0,,-17.27062225341797,-32.17529535293579,-29.443764686584473,-16.94390296936035,1.0419371128082275,0.18074184656143188,0.23691558837890625
18,514829.7877999998,6892258.0029,59.0,0.0,,-18.31716775894165,-30.864737033843994,-31.010429859161377,-17.06542134284973,1.1596741676330566,0.23652666807174683,0.20102661848068237
19,514790.50470000046,6892186.642700002,60.0,5.0,,-17.955065965652466,-30.79695224761963,-31.019279956817627,-17.008687257766724,1.119303822517395,0.22921933233737946,0.19815193116664886
20,514746.6043999995,6892110.361099999,61.0,0.0,,-20.413527488708496,-29.959218502044678,-31.721255779266357,-19.209868907928467,1.154110312461853,0.33398470282554626,0.23693138360977173
21,515735.3315000002,6893487.2262,62.0,15.0,,-21.74203395843506,-29.699387550354004,-31.867730617523193,-19.745339155197144,1.362282633781433,0.42639490962028503,0.25006502866744995
22,515838.53660000017,6893602.233800001,64.0,17.0,,-20.52245855331421,-30.81122875213623,-31.266562938690186,-19.86557126045227,1.0775675773620605,0.3079861104488373,0.27648869156837463
23,515891.4600999998,6893666.206599998,65.0,27.0,,-20.112297534942627,-31.543924808502197,-31.78790807723999,-19.94272232055664,1.0173636674880981,0.2687120735645294,0.2591853737831116
24,515954.12179999996,6893740.809700002,66.0,23.0,,-21.29765510559082,-32.13287115097046,-31.063408851623535,-20.47443389892578,1.1033841371536255,0.2901960611343384,0.29921528697013855
25,516021.2448000003,6893818.4432,67.0,25.0,,-23.459770679473877,-33.61309289932251,-31.983826160430908,-22.04038381576538,1.1846415996551514,0.3174348473548889,0.3263610601425171
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20180508/RS2_20180508_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_D_thicknesses_transect_noship_WGS84.shp
# combined with notransect
