,long,lat,OBJECTID,ID_Map,Snow,Ice,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,460530.6173647875,6896741.928398646,1,S_3,6.0,75.0,-13.588138818740845,-28.1512188911438,-28.154919147491455,-13.29568862915039,1.0395283699035645,0.18766845762729645,0.1811383217573166
1,461334.457897687,6896140.4465561705,2,S_2,6.0,81.0,-16.22756838798523,-29.54380989074707,-29.571752548217773,-18.01857352256775,0.8118008375167847,0.21622399985790253,0.26491567492485046
2,462063.6826426586,6895757.032432891,3,S_1,4.0,81.0,-18.483823537826538,-29.91534948348999,-31.159491539001465,-19.034265279769897,0.9622179865837097,0.2776603698730469,0.25038471817970276
3,462464.52979322977,6896840.827929272,4,S_4,4.0,83.0,-17.485347986221313,-31.54942035675049,-30.120937824249268,-17.739487886428833,0.9792001247406006,0.19957564771175385,0.2405986487865448
4,462639.57031250827,6897933.516574078,5,S_5,5.0,80.0,-14.950456619262695,-27.713663578033447,-27.773513793945312,-15.62307596206665,0.9284626841545105,0.23086251318454742,0.24506627023220062
5,463503.39940759673,6896859.386609247,6,S_6,5.0,79.0,-13.974462747573853,-30.060629844665527,-29.53988790512085,-14.44326400756836,0.9453916549682617,0.1561707705259323,0.1767316460609436
6,463613.0857001385,6897745.602070258,7,S_7,6.0,80.0,-16.051136255264282,-29.48275327682495,-29.55599308013916,-16.207746267318726,0.995692789554596,0.2172146886587143,0.2145344465970993
7,463986.746548083,6898849.473793733,8,S_8,8.0,78.0,-13.713288307189941,-29.595444202423096,-29.84074115753174,-14.26516056060791,0.9617655873298645,0.16256290674209595,0.16640566289424896
8,464418.7934849061,6898017.754779479,9,S_9,5.0,81.0,-15.915395021438599,-29.826772212982178,-29.491920471191406,-16.71478033065796,0.9051185250282288,0.2016795426607132,0.2375611960887909
9,465072.70489789546,6897487.608318125,10,S_10,5.0,85.0,-18.45727801322937,-30.136051177978516,-29.41659927368164,-17.332390546798706,1.148327350616455,0.2604292333126068,0.25056350231170654
10,465101.3927994311,6898308.195113929,11,S_11,6.0,81.0,-17.45217204093933,-31.114928722381592,-31.453847885131836,-17.163251638412476,1.0367608070373535,0.20909148454666138,0.19321078062057495
11,470923.5034991518,6901925.42110625,12,S_24,4.0,77.0,-19.590831995010376,-30.130398273468018,-31.052379608154297,-21.26194477081299,0.8233630657196045,0.2977011501789093,0.32410570979118347
12,469451.0624481582,6902495.527449934,13,S_23,11.0,75.0,-16.711901426315308,-29.707396030426025,-31.68433427810669,-15.69912314414978,1.1262539625167847,0.22601591050624847,0.1599409282207489
13,469671.22788188065,6901524.260391743,14,S_22,7.0,80.0,-20.530822277069092,-29.94309663772583,-31.661405563354492,-20.032682418823242,1.0624595880508423,0.3397301435470581,0.2608375549316406
14,468666.4928942007,6900360.422338514,15,S_19,7.0,84.0,-17.172929048538208,-31.466968059539795,-30.14275074005127,-17.089436054229736,1.0098239183425903,0.19309039413928986,0.2227814495563507
15,468463.82419282687,6901141.858825682,16,S_20,6.0,81.0,-17.54490375518799,-29.772565364837646,-30.534939765930176,-18.637690544128418,0.8802065253257751,0.24558289349079132,0.2548433542251587
16,468190.367981385,6902217.881503523,17,S_21,7.0,82.0,-17.332667112350464,-30.460851192474365,-30.399138927459717,-17.517272233963013,0.9797251224517822,0.21935273706912994,0.22911947965621948
17,467095.34575397026,6901488.642985646,18,S_18,7.0,83.0,-19.47613835334778,-31.702828407287598,-31.729254722595215,-19.296071529388428,1.0355029106140137,0.24806949496269226,0.2374291718006134
18,466036.56964943465,6900937.648895794,19,S_16,5.0,83.0,-16.34041428565979,-31.104652881622314,-32.0836615562439,-16.55829429626465,0.9807624816894531,0.1823948174715042,0.1669636368751526
19,467198.4820435588,6900245.730312346,20,S_17,7.0,84.0,-16.035877466201782,-31.186230182647705,-29.206607341766357,-17.510987520217896,0.8457489609718323,0.17840510606765747,0.26674550771713257
20,466064.10827637796,6900009.308740305,21,S_15,5.0,82.0,-15.239191055297852,-30.737388134002686,-28.360111713409424,-16.28651738166809,0.8665752410888672,0.1690817028284073,0.26644787192344666
21,465028.683531691,6899480.114853609,22,S_12,6.0,83.0,-15.234404802322388,-30.549862384796143,-29.105348587036133,-15.95735788345337,0.9261621832847595,0.17448510229587555,0.22261255979537964
22,466082.7284521851,6899112.366753426,23,S_14,6.0,84.0,-16.106239557266235,-29.86602544784546,-30.529141426086426,-16.219606399536133,0.988679051399231,0.20439475774765015,0.19310623407363892
23,466167.92352767143,6898027.362276385,24,S_13,4.0,85.0,-16.220591068267822,-30.759410858154297,-29.475088119506836,-16.55543565750122,1.0073752403259277,0.19343765079975128,0.2256222367286682
# Image values are a mean over a 3x3 box
# Image: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/Salluit/RS2_20180125/RS2_20180125_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1801_S_thicknesses_WGS84.shp
